absolute_path,relative_path,max_amplitude
F:\Python labs\lab2_finish\sounds\39.wav,sounds\39.wav,8291.0
F:\Python labs\lab2_finish\sounds\1045.wav,sounds\1045.wav,8295.0
F:\Python labs\lab2_finish\sounds\2298.wav,sounds\2298.wav,27467.0
F:\Python labs\lab2_finish\sounds\667.wav,sounds\667.wav,29210.0
F:\Python labs\lab2_finish\sounds\2390.wav,sounds\2390.wav,32160.0
F:\Python labs\lab2_finish\sounds\478.wav,sounds\478.wav,32438.0
F:\Python labs\lab2_finish\sounds\1386.wav,sounds\1386.wav,32440.0
F:\Python labs\lab2_finish\sounds\532.wav,sounds\532.wav,32441.0
F:\Python labs\lab2_finish\sounds\518.wav,sounds\518.wav,32607.0
F:\Python labs\lab2_finish\sounds\2393.wav,sounds\2393.wav,32767.0
F:\Python labs\lab2_finish\sounds\1059.wav,sounds\1059.wav,32767.0
